CSF1PO FGA TH01 TPOX VWA D3S1358 D5S818 D7S820 D8S1179 D13S317 D16S539 D18S51 D21S11
5 0 0 0.00388 0 0 0 0 0 0 0 0 0 0
6 0 0 0.12403 0.10078 0 0 0 0.00194 0 0 0 0 0
7 0.05253 0 0.42054 0.01744 0 0 0 0.0155 0 0 0 0 0
8 0.06031 0 0.1938 0.37209 0 0 0.04845 0.23643 0.00194 0.03295 0.03876 0 0
8.1 0 0 0 0 0 0 0 0 0 0 0 0 0
9 0.03696 0 0.15116 0.17829 0 0 0.03876 0.10853 0.00581 0.03295 0.19574 0.00389 0
9.3 0 0 0.10465 0 0 0 0 0.00194 0 0 0 0 0
10 0.25681 0 0.00194 0.08915 0 0 0.06977 0.3314 0.02907 0.02326 0.11628 0.00584 0
10.3 0 0 0 0 0 0 0 0 0 0 0 0 0
11 0.24903 0 0 0.21899 0 0 0.23256 0.20349 0.04457 0.3062 0.31783 0.00195 0
12 0.29767 0 0 0.02132 0.00194 0 0.35271 0.08721 0.14147 0.42442 0.19574 0.07782 0
12.2 0 0 0 0 0 0 0 0 0 0 0 0 0
13 0.03696 0 0 0.00194 0.00775 0.00194 0.23837 0.01357 0.21705 0.14535 0.11822 0.05253 0
13.2 0 0 0 0 0 0 0 0 0 0 0 0.00584 0
14 0.00973 0 0 0 0.07752 0.08915 0.0155 0 0.30039 0.03488 0.01744 0.07198 0
14.2 0 0 0 0 0 0 0 0 0 0 0 0 0
15 0 0 0 0 0.18605 0.30233 0.00388 0 0.18411 0 0 0.16148 0
15.2 0 0 0 0 0 0.00194 0 0 0 0 0 0.00195 0
16 0 0 0 0 0.24806 0.33527 0 0 0.06977 0 0 0.15759 0
16.2 0 0.00194 0 0 0 0 0 0 0 0 0 0 0
17 0 0 0 0 0.24225 0.20543 0 0 0.00388 0 0 0.15175 0
17.2 0 0 0 0 0 0 0 0 0 0 0 0 0
18 0 0.00194 0 0 0.15504 0.06008 0 0 0.00194 0 0 0.12257 0
18.2 0 0.01163 0 0 0 0 0 0 0 0 0 0 0
19 0 0.06202 0 0 0.06202 0.00388 0 0 0 0 0 0.09922 0
19.2 0 0.00388 0 0 0 0 0 0 0 0 0 0 0
20 0 0.0562 0 0 0.0155 0 0 0 0 0 0 0.0642 0
21 0 0.11628 0 0 0.00388 0 0 0 0 0 0 0.00973 0
21.2 0 0 0 0 0 0 0 0 0 0 0 0.00195 0
22 0 0.19574 0 0 0 0 0 0 0 0 0 0.00584 0
22.2 0 0.00388 0 0 0 0 0 0 0 0 0 0 0
22.3 0 0.00194 0 0 0 0 0 0 0 0 0 0 0
23 0 0.17054 0 0 0 0 0 0 0 0 0 0.00195 0
23.2 0 0.00194 0 0 0 0 0 0 0 0 0 0 0
24 0 0.12209 0 0 0 0 0 0 0 0 0 0.00195 0
24.2 0 0 0 0 0 0 0 0 0 0 0 0 0
25 0 0.12403 0 0 0 0 0 0 0 0 0 0 0
25.2 0 0 0 0 0 0 0 0 0 0 0 0 0
26 0 0.0814 0 0 0 0 0 0 0 0 0 0 0.00194
27 0 0.02326 0 0 0 0 0 0 0 0 0 0 0.07752
28 0 0.01163 0 0 0 0 0 0 0 0 0 0 0.25775
29 0 0.00388 0 0 0 0 0 0 0 0 0 0 0.19767
29.2 0 0 0 0 0 0 0 0 0 0 0 0 0
30 0 0.00194 0 0 0 0 0 0 0 0 0 0 0.17442
30.2 0 0.00194 0 0 0 0 0 0 0 0 0 0 0.00969
31 0 0 0 0 0 0 0 0 0 0 0 0 0.0814
31.2 0 0.00194 0 0 0 0 0 0 0 0 0 0 0.04651
32 0 0 0 0 0 0 0 0 0 0 0 0 0.00775
32.2 0 0 0 0 0 0 0 0 0 0 0 0 0.05814
33 0 0 0 0 0 0 0 0 0 0 0 0 0.00581
33.1 0 0 0 0 0 0 0 0 0 0 0 0 0.00194
33.2 0 0 0 0 0 0 0 0 0 0 0 0 0.03488
34 0 0 0 0 0 0 0 0 0 0 0 0 0.00581
34.2 0 0 0 0 0 0 0 0 0 0 0 0 0
35 0 0 0 0 0 0 0 0 0 0 0 0 0.02326
36 0 0 0 0 0 0 0 0 0 0 0 0 0.00969
37 0 0 0 0 0 0 0 0 0 0 0 0 0.00194
38 0 0 0 0 0 0 0 0 0 0 0 0 0.00194
39 0 0 0 0 0 0 0 0 0 0 0 0 0.00194
